"","PMID","title","author_list","citation","journal","year","DOI","position","author_name","lead_or_other"
"11",33193926,"Pain Catastrophizing Is Related to Static Postural Control Impairment in Patients with Nonspecific Chronic Low Back Pain: A Cross-Sectional Study","Zhang C, Zhang Z, Li Y, Feng C, Meng H, Gao Y, Lo WLA, Wang C.","Pain Res Manag. 2020 Oct 28;2020:9629526. doi: 10.1155/2020/9629526. eCollection 2020.","Pain Res Manag",2020,"10.1155/2020/9629526","lead_author","Zhang C","lead"
"12",31342612,"Neuromuscular characteristics in trained vs. sedentary male adults with intellectual disability","Zghal F, Borji R, Colson SS, Sahli S, Rebai H.","J Intellect Disabil Res. 2019 Nov;63(11):1334-1345. doi: 10.1111/jir.12674. Epub 2019 Jul 24.","J Intellect Disabil Res",2019,"10.1111/jir.12674","lead_author","Zghal F","lead"
"13",17127078,"Reliability and performance-dependent variations of muscle function variables during isometric knee extension","Zech A, Witte K, Pfeifer K.","J Electromyogr Kinesiol. 2008 Apr;18(2):262-9. doi: 10.1016/j.jelekin.2006.08.013. Epub 2006 Nov 28.","J Electromyogr Kinesiol",2008,"10.1016/j.jelekin.2006.08.013","lead_author","Zech A","lead"
"14",31397211,"Centrally-mediated regulation of peripheral fatigue during knee extensor exercise and consequences on the force-duration relationship in older men","Zarzissi S, Zghal F, Bouzid MA, Hureau TJ, Sahli S, Ben Hassen H, Rebai H.","Eur J Sport Sci. 2020 Jun;20(5):641-649. doi: 10.1080/17461391.2019.1655099. Epub 2019 Aug 22.","Eur J Sport Sci",2020,"10.1080/17461391.2019.1655099","lead_author","Zarzissi S","lead"
"15",28649011,"Comparison of techniques to determine human skeletal muscle voluntary activation","Zarkou A, Stackhouse S, Binder-Macleod SA, Lee SCK.","J Electromyogr Kinesiol. 2017 Oct;36:8-15. doi: 10.1016/j.jelekin.2017.05.011. Epub 2017 Jun 8.","J Electromyogr Kinesiol",2017,"10.1016/j.jelekin.2017.05.011","lead_author","Zarkou A","lead"
"16",18236468,"Age-related muscle fatigue after a low-force fatiguing contraction is explained by central fatigue","Yoon T, De-Lap BS, Griffith EE, Hunter SK.","Muscle Nerve. 2008 Apr;37(4):457-66. doi: 10.1002/mus.20969.","Muscle Nerve",2008,"10.1002/mus.20969","lead_author","Yoon T","lead"
"17",17626289,"Mechanisms of fatigue differ after low- and high-force fatiguing contractions in men and women","Yoon T, Schlinder Delap B, Griffith EE, Hunter SK.","Muscle Nerve. 2007 Oct;36(4):515-24. doi: 10.1002/mus.20844.","Muscle Nerve",2007,"10.1002/mus.20844","lead_author","Yoon T","lead"
"18",26550912,"Altered force perception in stroke survivors with spastic hemiplegia","Yen JT, Li S.","J Rehabil Med. 2015 Nov;47(10):917-23. doi: 10.2340/16501977-2019.","J Rehabil Med",2015,"10.2340/16501977-2019","lead_author","Yen JT","lead"
"19",16389087,"Modelling the maximum voluntary joint torque/angular velocity relationship in human movement","Yeadon MR, King MA, Wilson C.","J Biomech. 2006;39(3):476-82. doi: 10.1016/j.jbiomech.2004.12.012.","J Biomech",2006,"10.1016/j.jbiomech.2004.12.012","lead_author","Yeadon MR","lead"
"20",12434859,"Effects of voluntary activation on neuromuscular endurance analyzed by surface electromyography","Yamada H, Kaneko K, Masuda T.","Percept Mot Skills. 2002 Oct;95(2):613-9. doi: 10.2466/pms.2002.95.2.613.","Percept Mot Skills",2002,"10.2466/pms.2002.95.2.613","lead_author","Yamada H","lead"
"21",29283935,"The Effects of Sex and Motoneuron Pool on Central Fatigue","Yacyshyn AF, Nettleton J, McNeil CJ.","Med Sci Sports Exerc. 2018 May;50(5):1061-1069. doi: 10.1249/MSS.0000000000001536.","Med Sci Sports Exerc",2018,"10.1249/MSS.0000000000001536","lead_author","Yacyshyn AF","lead"
"22",25033264,"Aspects of respiratory muscle fatigue in a mountain ultramarathon race","Wüthrich TU, Marty J, Kerherve H, Millet GY, Verges S, Spengler CM.","Med Sci Sports Exerc. 2015 Mar;47(3):519-27. doi: 10.1249/MSS.0000000000000449.","Med Sci Sports Exerc",2015,"10.1249/MSS.0000000000000449","lead_author","Wüthrich TU","lead"
"23",26156191,"Reduced Voluntary Activation During Brief and Sustained Contractions of a Hand Muscle in Secondary-Progressive Multiple Sclerosis Patients","Wolkorte R, Heersema DJ, Zijdewind I.","Neurorehabil Neural Repair. 2016 May;30(4):307-16. doi: 10.1177/1545968315593809. Epub 2015 Jul 8.","Neurorehabil Neural Repair",2016,"10.1177/1545968315593809","lead_author","Wolkorte R","lead"
"24",27475953,"Core Stability in Athletes: A Critical Analysis of Current Guidelines","Wirth K, Hartmann H, Mickel C, Szilvas E, Keiner M, Sander A.","Sports Med. 2017 Mar;47(3):401-414. doi: 10.1007/s40279-016-0597-7.","Sports Med",2017,"10.1007/s40279-016-0597-7","lead_author","Wirth K","lead"
"25",30295004,"Oxygenation time course and neuromuscular fatigue during repeated cycling sprints with bilateral blood flow restriction","Willis SJ, Alvarez L, Borrani F, Millet GP.","Physiol Rep. 2018 Sep;6(19):e13872. doi: 10.14814/phy2.13872.","Physiol Rep",2018,"10.14814/phy2.13872","lead_author","Willis SJ","lead"
"26",14694506,"Assessment of voluntary activation by stimulation of one muscle or two synergistic muscles","Williams DM, Bilodeau M.","Muscle Nerve. 2004 Jan;29(1):112-9. doi: 10.1002/mus.10508.","Muscle Nerve",2004,"10.1002/mus.10508","lead_author","Williams DM","lead"
"27",12121685,"Neuromuscular fatigue of elbow flexor muscles of dominant and non-dominant arms in healthy humans","Williams DM, Sharma S, Bilodeau M.","J Electromyogr Kinesiol. 2002 Aug;12(4):287-94. doi: 10.1016/s1050-6411(02)00024-x.","J Electromyogr Kinesiol",2002,"10.1016/s1050-6411(02)00024-x","lead_author","Williams DM","lead"
"28",19229967,"Effect of age on muscle activation and twitch properties during static and dynamic actions","Wilder MR, Cannon J.","Muscle Nerve. 2009 May;39(5):683-91. doi: 10.1002/mus.21233.","Muscle Nerve",2009,"10.1002/mus.21233","lead_author","Wilder MR","lead"
"29",30653856,"No effect of beetroot juice supplementation on exercise economy and performance in recreationally active females despite increased torque production","Wickham KA, McCarthy DG, Pereira JM, Cervone DT, Verdijk LB, van Loon LJC, Power GA, Spriet LL.","Physiol Rep. 2019 Jan;7(2):e13982. doi: 10.14814/phy2.13982.","Physiol Rep",2019,"10.14814/phy2.13982","lead_author","Wickham KA","lead"
"30",24752594,"Assessment of quadriceps muscle inactivation with a new electrical stimulation paradigm","Wellauer V, Morf C, Minetto MA, Place N, Maffiuletti NA.","Muscle Nerve. 2015 Jan;51(1):117-24. doi: 10.1002/mus.24266. Epub 2014 Nov 19.","Muscle Nerve",2015,"10.1002/mus.24266","lead_author","Wellauer V","lead"
"31",30305044,"The effect of whole body vibration training on quadriceps voluntary activation level of people with age-related muscle loss (sarcopenia): a randomized pilot study","Wei N, Ng GYF.","BMC Geriatr. 2018 Oct 11;18(1):240. doi: 10.1186/s12877-018-0923-z.","BMC Geriatr",2018,"10.1186/s12877-018-0923-z","lead_author","Wei N","lead"
"32",15578204,"Acute passive stretching alters the mechanical properties of human plantar flexors and the optimal angle for maximal voluntary contraction","Weir DE, Tingley J, Elder GC.","Eur J Appl Physiol. 2005 Mar;93(5-6):614-23. doi: 10.1007/s00421-004-1265-4. Epub 2004 Dec 1.","Eur J Appl Physiol",2005,"10.1007/s00421-004-1265-4","lead_author","Weir DE","lead"
"33",33164549,"Heart failure with preserved ejection fraction diminishes peripheral hemodynamics and accelerates exercise-induced neuromuscular fatigue","Weavil JC, Thurston TS, Hureau TJ, Gifford JR, Kithas PA, Broxterman RM, Bledsoe AD, Nativi JN, Richardson RS, Amann M.","Am J Physiol Heart Circ Physiol. 2021 Jan 1;320(1):H338-H351. doi: 10.1152/ajpheart.00266.2020. Epub 2020 Nov 8.","Am J Physiol Heart Circ Physiol",2021,"10.1152/ajpheart.00266.2020","lead_author","Weavil JC","lead"
"34",29350554,"Quadriceps Neuromuscular Function and Jump-Landing Sagittal-Plane Knee Biomechanics After Anterior Cruciate Ligament Reconstruction","Ward SH, Blackburn JT, Padua DA, Stanley LE, Harkey MS, Luc-Harkey BA, Pietrosimone B.","J Athl Train. 2018 Feb;53(2):135-143. doi: 10.4085/1062-6050-306-16. Epub 2018 Jan 19.","J Athl Train",2018,"10.4085/1062-6050-306-16","lead_author","Ward SH","lead"
"35",29859322,"Acute hypercapnia does not alter voluntary drive to the diaphragm in healthy humans","Wan HY, Stickford JL, Kitano K, Manz WJ, Koceja DM, Chapman RF, Stager JM.","Respir Physiol Neurobiol. 2018 Dec;258:60-68. doi: 10.1016/j.resp.2018.05.012. Epub 2018 May 30.","Respir Physiol Neurobiol",2018,"10.1016/j.resp.2018.05.012","lead_author","Wan HY","lead"
"36",31133969,"Spasticity Assessment Based on the Maximum Isometrics Voluntary Contraction of Upper Limb Muscles in Post-stroke Hemiplegia","Wang H, Huang P, Li X, Samuel OW, Xiang Y, Li G.","Front Neurol. 2019 May 7;10:465. doi: 10.3389/fneur.2019.00465. eCollection 2019.","Front Neurol",2019,"10.3389/fneur.2019.00465","lead_author","Wang H","lead"
"37",21891876,"Evoked spinal reflexes and force development in elite athletes with middle-portion Achilles tendinopathy","Wang HK, Lin KH, Wu YK, Chi SC, Shih TT, Huang YC.","J Orthop Sports Phys Ther. 2011 Oct;41(10):785-94. doi: 10.2519/jospt.2011.3564. Epub 2011 Sep 4.","J Orthop Sports Phys Ther",2011,"10.2519/jospt.2011.3564","lead_author","Wang HK","lead"
"38",29018363,"Moderate-Load Muscular Endurance Strength Training Did Not Improve Peak Power or Functional Capacity in Older Men and Women","Walker S, Haff GG, Häkkinen K, Newton RU.","Front Physiol. 2017 Sep 26;8:743. doi: 10.3389/fphys.2017.00743. eCollection 2017.","Front Physiol",2017,"10.3389/fphys.2017.00743","lead_author","Walker S","lead"
"39",27199764,"Greater Strength Gains after Training with Accentuated Eccentric than Traditional Isoinertial Loads in Already Strength-Trained Men","Walker S, Blazevich AJ, Haff GG, Tufano JJ, Newton RU, Häkkinen K.","Front Physiol. 2016 Apr 27;7:149. doi: 10.3389/fphys.2016.00149. eCollection 2016.","Front Physiol",2016,"10.3389/fphys.2016.00149","lead_author","Walker S","lead"
"40",25051001,"Similar increases in strength after short-term resistance training due to different neuromuscular adaptations in young and older men","Walker S, Häkkinen K.","J Strength Cond Res. 2014 Nov;28(11):3041-8. doi: 10.1519/JSC.0000000000000381.","J Strength Cond Res",2014,"10.1519/JSC.0000000000000381","lead_author","Walker S","lead"
"41",23079866,"Neuromuscular fatigue in young and older men using constant or variable resistance","Walker S, Peltonen H, Avela J, Häkkinen K.","Eur J Appl Physiol. 2013 Apr;113(4):1069-79. doi: 10.1007/s00421-012-2526-2. Epub 2012 Oct 19.","Eur J Appl Physiol",2013,"10.1007/s00421-012-2526-2","lead_author","Walker S","lead"
"42",19757297,"Neuromuscular fatigue induced by an isotonic heavy-resistance loading protocol in knee extensors","Walker S, Peltonen J, Ahtiainen JP, Avela J, Hakkinen K.","J Sports Sci. 2009 Oct;27(12):1271-9. doi: 10.1080/02640410903165085.","J Sports Sci",2009,"10.1080/02640410903165085","lead_author","Walker S","lead"
"43",32078467,"Joint and muscle-tendon coordination strategies during submaximal jumping","Wade L, Lichtwark GA, Farris DJ.","J Appl Physiol (1985). 2020 Mar 1;128(3):596-603. doi: 10.1152/japplphysiol.00293.2019. Epub 2020 Feb 20.","J Appl Physiol (1985)",2020,"10.1152/japplphysiol.00293.2019","lead_author","Wade L","lead"
"44",20100665,"Fatigue in multiple sclerosis: mechanisms and management","Vucic S, Burke D, Kiernan MC.","Clin Neurophysiol. 2010 Jun;121(6):809-17. doi: 10.1016/j.clinph.2009.12.013. Epub 2010 Jan 25.","Clin Neurophysiol",2010,"10.1016/j.clinph.2009.12.013","lead_author","Vucic S","lead"
"45",29576313,"Training induced changes in quadriceps activation during maximal eccentric contractions","Voukelatos D, Kirkland M, Pain MTG.","J Biomech. 2018 May 17;73:66-72. doi: 10.1016/j.jbiomech.2018.03.025. Epub 2018 Mar 17.","J Biomech",2018,"10.1016/j.jbiomech.2018.03.025","lead_author","Voukelatos D","lead"
"46",25636854,"Modelling suppressed muscle activation by means of an exponential sigmoid function: validation and bounds","Voukelatos D, Pain MT.","J Biomech. 2015 Feb 26;48(4):712-715. doi: 10.1016/j.jbiomech.2015.01.009. Epub 2015 Jan 21.","J Biomech",2015,"10.1016/j.jbiomech.2015.01.009","lead_author","Voukelatos D","lead"
"47",17912747,"Voluntary activation during knee extensions in severely deconditioned patients with chronic obstructive pulmonary disease: benefit of endurance training","Vivodtzev I, Flore P, Lévy P, Wuyam B.","Muscle Nerve. 2008 Jan;37(1):27-35. doi: 10.1002/mus.20867.","Muscle Nerve",2008,"10.1002/mus.20867","lead_author","Vivodtzev I","lead"
"48",31605203,"Impact of stimulation frequency on neuromuscular fatigue","Vitry F, Martin A, Papaiordanidou M.","Eur J Appl Physiol. 2019 Dec;119(11-12):2609-2616. doi: 10.1007/s00421-019-04239-x. Epub 2019 Oct 11.","Eur J Appl Physiol",2019,"10.1007/s00421-019-04239-x","lead_author","Vitry F","lead"
"49",31545155,"Torque gains and neural adaptations following low-intensity motor nerve electrical stimulation training","Vitry F, Martin A, Papaiordanidou M.","J Appl Physiol (1985). 2019 Nov 1;127(5):1469-1477. doi: 10.1152/japplphysiol.00513.2019. Epub 2019 Sep 23.","J Appl Physiol (1985)",2019,"10.1152/japplphysiol.00513.2019","lead_author","Vitry F","lead"
"50",25702036,"Stretch-sensitive paresis and effort perception in hemiparesis","Vinti M, Bayle N, Hutin E, Burke D, Gracies JM.","J Neural Transm (Vienna). 2015 Aug;122(8):1089-97. doi: 10.1007/s00702-015-1379-3. Epub 2015 Feb 22.","J Neural Transm (Vienna)",2015,"10.1007/s00702-015-1379-3","lead_author","Vinti M","lead"
"51",23672950,"Changes in stationary upright standing and proprioceptive reflex control of foot muscles after fatiguing static foot inversion","Vie B, Gomez N, Brerro-Saby C, Weber JP, Jammes Y.","J Biomech. 2013 Jun 21;46(10):1676-82. doi: 10.1016/j.jbiomech.2013.04.005. Epub 2013 May 11.","J Biomech",2013,"10.1016/j.jbiomech.2013.04.005","lead_author","Vie B","lead"
"52",33417034,"Acute effects of dynamic stretching on neuromechanical properties: an interaction between stretching, contraction, and movement","Vieira DCL, Opplert J, Babault N.","Eur J Appl Physiol. 2021 Mar;121(3):957-967. doi: 10.1007/s00421-020-04583-3. Epub 2021 Jan 8.","Eur J Appl Physiol",2021,"10.1007/s00421-020-04583-3","lead_author","Vieira DCL","lead"
"53",26663422,"Stimulated jitter analysis for the evaluation of neuromuscular junction disorders in children","Verma S, Lin J.","Muscle Nerve. 2016 Mar;53(3):471-2. doi: 10.1002/mus.25012. Epub 2016 Jan 20.","Muscle Nerve",2016,"10.1002/mus.25012","lead_author","Verma S","lead"
"54",27081007,"Compression Garments, Muscle Contractile Function, and Economy in Trail Runners","Vercruyssen F, Gruet M, Colson SS, Ehrstrom S, Brisswalter J.","Int J Sports Physiol Perform. 2017 Jan;12(1):62-68. doi: 10.1123/ijspp.2016-0035. Epub 2016 Aug 24.","Int J Sports Physiol Perform",2017,"10.1123/ijspp.2016-0035","lead_author","Vercruyssen F","lead"
"55",28456776,"Effect of sprint cycling and stretch-shortening cycle exercises on the neuromuscular, immune and stress indicators in young men","Verbickas V, Baranauskiene N, Eimantas N, Kamandulis S, Rutkauskas S, Satkunskiene D, Sadauskas S, Brazaitis M, Skurvydas A.","J Physiol Pharmacol. 2017 Feb;68(1):125-132.","J Physiol Pharmacol",2017,NA,"lead_author","Verbickas V","lead"
"56",31105594,"Neuromuscular and Muscle Metabolic Functions in MELAS Before and After Resistance Training: A Case Study","Venturelli M, Villa F, Ruzzante F, Tarperi C, Rudi D, Milanese C, Cavedon V, Fonte C, Picelli A, Smania N, Calabria E, Skafidas S, Layec G, Schena F.","Front Physiol. 2019 Apr 26;10:503. doi: 10.3389/fphys.2019.00503. eCollection 2019.","Front Physiol",2019,"10.3389/fphys.2019.00503","lead_author","Venturelli M","lead"
"57",30551008,"Deficits in rate of torque development are accompanied by activation failure in patients with knee osteoarthritis","Ventura A, Muendle B, Friesenbichler B, Casartelli NC, Kramers I, Maffiuletti NA.","J Electromyogr Kinesiol. 2019 Feb;44:94-100. doi: 10.1016/j.jelekin.2018.11.010. Epub 2018 Dec 4.","J Electromyogr Kinesiol",2019,"10.1016/j.jelekin.2018.11.010","lead_author","Ventura A","lead"
"58",22581538,"Effect of stimulation intensity on assessment of voluntary activation","Van Leeuwen DM, De Ruiter CJ, De Haan A.","Muscle Nerve. 2012 Jun;45(6):841-8. doi: 10.1002/mus.23343.","Muscle Nerve",2012,"10.1002/mus.23343","lead_author","Van Leeuwen DM","lead"
"59",24693435,"Preoperative strength training for elderly patients awaiting total knee arthroplasty","van Leeuwen DM, de Ruiter CJ, Nolte PA, de Haan A.","Rehabil Res Pract. 2014;2014:462750. doi: 10.1155/2014/462750. Epub 2014 Feb 13.","Rehabil Res Pract",2014,"10.1155/2014/462750","lead_author","van Leeuwen DM","lead"
"60",12544644,"Reduced neural drive in bilateral exertions: a performance-limiting factor?","Van Dieën JH, Ogita F, De Haan A.","Med Sci Sports Exerc. 2003 Jan;35(1):111-8. doi: 10.1097/00005768-200301000-00018.","Med Sci Sports Exerc",2003,"10.1097/00005768-200301000-00018","lead_author","Van Dieën JH","lead"
"61",16195165,"Muscle hypertrophy, strength development, and serum hormones during strength training in elderly women with fibromyalgia","Valkeinen H, Häkkinen K, Pakarinen A, Hannonen P, Häkkinen A, Airaksinen O, Niemitukia L, Kraemer WJ, Alén M.","Scand J Rheumatol. 2005 Jul-Aug;34(4):309-14. doi: 10.1080/03009740510018697.","Scand J Rheumatol",2005,"10.1080/03009740510018697","lead_author","Valkeinen H","lead"
"62",22139408,"Quadriceps femoris muscle function prior and after total knee arthroplasty in women with knee osteoarthritis","Vahtrik D, Gapeyeva H, Aibast H, Ereline J, Kums T, Haviko T, Märtson A, Schneider G, Pääsuke M.","Knee Surg Sports Traumatol Arthrosc. 2012 Oct;20(10):2017-25. doi: 10.1007/s00167-011-1808-2. Epub 2011 Dec 3.","Knee Surg Sports Traumatol Arthrosc",2012,"10.1007/s00167-011-1808-2","lead_author","Vahtrik D","lead"
"63",30871128,"Pre-Exercise Rehydration Attenuates Central Fatigability during 2-Min Maximum Voluntary Contraction in Hyperthermia","Vadopalas K, Ratkevicius A, Skurvydas A, Sipaviciene S, Brazaitis M.","Medicina (Kaunas). 2019 Mar 12;55(3):66. doi: 10.3390/medicina55030066.","Medicina (Kaunas)",2019,"10.3390/medicina55030066","lead_author","Vadopalas K","lead"
"64",29188681,"Targeted muscle reinnervation for improved control of myoelectric upper limb prostheses","Vadalà G, Di Pino G, Ambrosio L, Diaz Balzani L, Denaro V.","J Biol Regul Homeost Agents. 2017 Oct-Dec;31(4 suppl 1):183-189.","J Biol Regul Homeost Agents",2017,NA,"lead_author","Vadalà G","lead"
"65",12015621,"Impaired ability of voluntary quadriceps activation bilaterally interferes with function testing after knee injuries. A twitch interpolation study","Urbach D, Awiszus F.","Int J Sports Med. 2002 May;23(4):231-6. doi: 10.1055/s-2002-29074.","Int J Sports Med",2002,"10.1055/s-2002-29074","lead_author","Urbach D","lead"
"66",11764420,"Effects of reconstruction of the anterior cruciate ligament on voluntary activation of quadriceps femoris a prospective twitch interpolation study","Urbach D, Nebelung W, Becker R, Awiszus F.","J Bone Joint Surg Br. 2001 Nov;83(8):1104-10. doi: 10.1302/0301-620x.83b8.11618.","J Bone Joint Surg Br",2001,"10.1302/0301-620x.83b8.11618","lead_author","Urbach D","lead"
"67",32614394,"External Resistance Is Imperative for Training-Induced Efferent Neural Drive Enhancement in Older Adults","Unhjem R, Tøien T, Kvellestad ACG, Øren TS, Wang E.","J Gerontol A Biol Sci Med Sci. 2021 Jan 18;76(2):224-232. doi: 10.1093/gerona/glaa160.","J Gerontol A Biol Sci Med Sci",2021,"10.1093/gerona/glaa160","lead_author","Unhjem R","lead"
"68",27339181,"Lifelong strength training mitigates the age-related decline in efferent drive","Unhjem R, Nygård M, van den Hoven LT, Sidhu SK, Hoff J, Wang E.","J Appl Physiol (1985). 2016 Aug 1;121(2):415-23. doi: 10.1152/japplphysiol.00117.2016. Epub 2016 Jun 23.","J Appl Physiol (1985)",2016,"10.1152/japplphysiol.00117.2016","lead_author","Unhjem R","lead"
"69",32964763,"Sex differences in passive and active stiffness of the knee flexor muscles during dynamic perturbation test: principal component analysis","Ueno R, Nagai T, Bates NA, Hewett TE, Schilaty ND.","Somatosens Mot Res. 2020 Dec;37(4):293-299. doi: 10.1080/08990220.2020.1824905. Epub 2020 Sep 23.","Somatosens Mot Res",2020,"10.1080/08990220.2020.1824905","lead_author","Ueno R","lead"
"70",19485575,"How fast are feedforward postural adjustments of the abdominal muscles?","Tsao H, Galea MP, Hodges PW.","Behav Neurosci. 2009 Jun;123(3):687-93. doi: 10.1037/a0015593.","Behav Neurosci",2009,"10.1037/a0015593","lead_author","Tsao H","lead"
"71",17476489,"Immediate changes in feedforward postural adjustments following voluntary motor training","Tsao H, Hodges PW.","Exp Brain Res. 2007 Aug;181(4):537-46. doi: 10.1007/s00221-007-0950-z. Epub 2007 May 3.","Exp Brain Res",2007,"10.1007/s00221-007-0950-z","lead_author","Tsao H","lead"
"72",19163477,"Altered multijoint reflex coordination is indicative of motor impairment level following stroke","Trumbower RD, Ravichandran VJ, Krutky MA, Perreault EJ.","Annu Int Conf IEEE Eng Med Biol Soc. 2008;2008:3558-61. doi: 10.1109/IEMBS.2008.4649974.","Annu Int Conf IEEE Eng Med Biol Soc",2008,"10.1109/IEMBS.2008.4649974","lead_author","Trumbower RD","lead"
"73",21753022,"Diminished capacity to modulate motor activation patterns according to task contributes to thumb deficits following stroke","Triandafilou KM, Fischer HC, Towles JD, Kamper DG, Rymer WZ.","J Neurophysiol. 2011 Oct;106(4):1644-51. doi: 10.1152/jn.00936.2010. Epub 2011 Jul 13.","J Neurophysiol",2011,"10.1152/jn.00936.2010","lead_author","Triandafilou KM","lead"
"74",31447693,"Anatomical and Neuromuscular Determinants of Strength Change in Previously Untrained Men Following Heavy Strength Training","Trezise J, Blazevich AJ.","Front Physiol. 2019 Aug 6;10:1001. doi: 10.3389/fphys.2019.01001. eCollection 2019.","Front Physiol",2019,"10.3389/fphys.2019.01001","lead_author","Trezise J","lead"
"75",27076217,"Anatomical and neuromuscular variables strongly predict maximum knee extension torque in healthy men","Trezise J, Collier N, Blazevich AJ.","Eur J Appl Physiol. 2016 Jun;116(6):1159-77. doi: 10.1007/s00421-016-3352-8. Epub 2016 Apr 13.","Eur J Appl Physiol",2016,"10.1007/s00421-016-3352-8","lead_author","Trezise J","lead"
"76",26726950,"Voluntary activation of quadriceps femoris in patients with unilateral anterior cruciate ligament rupture within 6 months of injury: A cross-sectional observational study","Trees A, Dixon J, Howe TE.","Man Ther. 2016 Apr;22:153-7. doi: 10.1016/j.math.2015.11.007. Epub 2015 Dec 11.","Man Ther",2016,"10.1016/j.math.2015.11.007","lead_author","Trees A","lead"
"77",24121249,"Intermittent stretch reduces force and central drive more than continuous stretch","Trajano GS, Nosaka K, B Seitz L, Blazevich AJ.","Med Sci Sports Exerc. 2014;46(5):902-10. doi: 10.1249/MSS.0000000000000185.","Med Sci Sports Exerc",2014,"10.1249/MSS.0000000000000185","lead_author","Trajano GS","lead"
"78",23661620,"Contribution of central vs. peripheral factors to the force loss induced by passive stretch of the human plantar flexors","Trajano GS, Seitz L, Nosaka K, Blazevich AJ.","J Appl Physiol (1985). 2013 Jul 15;115(2):212-8. doi: 10.1152/japplphysiol.00333.2013. Epub 2013 May 9.","J Appl Physiol (1985)",2013,"10.1152/japplphysiol.00333.2013","lead_author","Trajano GS","lead"
