PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"25064039","The influence of strength training on muscle activation in elderly persons: a systematic review and meta-analysis","Arnold P, Bautmans I.","Exp Gerontol. 2014 Oct;58:58-68. doi: 10.1016/j.exger.2014.07.012. Epub 2014 Jul 23.","Arnold P","Exp Gerontol","2014","2014/07/28","","","10.1016/j.exger.2014.07.012"
"31497595","Neuromuscular Properties of the Human Wrist Flexors as a Function of the Wrist Joint Angle","Behrens M, Husmann F, Mau-Moeller A, Schlegel J, Reuter EM, Zschorlich VR.","Front Bioeng Biotechnol. 2019 Aug 21;7:181. doi: 10.3389/fbioe.2019.00181. eCollection 2019.","Behrens M","Front Bioeng Biotechnol","2019","2019/09/10","PMC6713036","","10.3389/fbioe.2019.00181"
"16763836","Voluntary activation during maximal contraction with advancing age: a brief review","Klass M, Baudry S, Duchateau J.","Eur J Appl Physiol. 2007 Jul;100(5):543-51. doi: 10.1007/s00421-006-0205-x. Epub 2006 Jun 9.","Klass M","Eur J Appl Physiol","2007","2006/06/10","","","10.1007/s00421-006-0205-x"
"31925519","Is there an intermuscular relationship in voluntary activation capacities and contractile kinetics?","Hucteau E, Jubeau M, Cornu C, Cattagni T.","Eur J Appl Physiol. 2020 Feb;120(2):513-526. doi: 10.1007/s00421-019-04299-z. Epub 2020 Jan 10.","Hucteau E","Eur J Appl Physiol","2020","2020/01/12","","","10.1007/s00421-019-04299-z"
"19567806","Counterpoint: the interpolated twitch does not provide a valid measure of the voluntary activation of muscle","de Haan A, Gerrits KH, de Ruiter CJ.","J Appl Physiol (1985). 2009 Jul;107(1):355-7; discussion 357-8. doi: 10.1152/japplphysiol.91220.2008a.","de Haan A","J Appl Physiol (1985)","2009","2009/07/02","","","10.1152/japplphysiol.91220.2008a"
"28253262","Voluntary activation of biceps-to-triceps and deltoid-to-triceps transfers in quadriplegia","Peterson CL, Bednar MS, Bryden AM, Keith MW, Perreault EJ, Murray WM.","PLoS One. 2017 Mar 2;12(3):e0171141. doi: 10.1371/journal.pone.0171141. eCollection 2017.","Peterson CL","PLoS One","2017","2017/03/03","PMC5333805","","10.1371/journal.pone.0171141"
"21878708","Percent voluntary inactivation and peak force predictions with the interpolated twitch technique in individuals with high ability of voluntary activation","Herda TJ, Walter AA, Costa PB, Ryan ED, Hoge KM, Stout JR, Cramer JT.","Physiol Meas. 2011 Oct;32(10):1591-603. doi: 10.1088/0967-3334/32/10/007. Epub 2011 Aug 30.","Herda TJ","Physiol Meas","2011","2011/09/01","","","10.1088/0967-3334/32/10/007"
"26792331","Neural control of lengthening contractions","Duchateau J, Enoka RM.","J Exp Biol. 2016 Jan;219(Pt 2):197-204. doi: 10.1242/jeb.123158.","Duchateau J","J Exp Biol","2016","2016/01/22","","","10.1242/jeb.123158"
"28930864","Neural Correlates to the Increase in Maximal Force after Dexamethasone Administration","Baudry S, Motta G, Botter A, Duchateau J, Minetto MA.","Med Sci Sports Exerc. 2018 Feb;50(2):218-224. doi: 10.1249/MSS.0000000000001425.","Baudry S","Med Sci Sports Exerc","2018","2017/09/21","","","10.1249/MSS.0000000000001425"
"18801954","Point: the interpolated twitch does/does not provide a valid measure of the voluntary activation of muscle","Taylor JL.","J Appl Physiol (1985). 2009 Jul;107(1):354-5. doi: 10.1152/japplphysiol.91220.2008. Epub 2008 Sep 18.","Taylor JL","J Appl Physiol (1985)","2009","2008/09/20","","","10.1152/japplphysiol.91220.2008"
"29058113","Voluntary activation and variability during maximal dynamic contractions with aging","Rozand V, Senefeld JW, Hassanlouei H, Hunter SK.","Eur J Appl Physiol. 2017 Dec;117(12):2493-2507. doi: 10.1007/s00421-017-3737-3. Epub 2017 Oct 20.","Rozand V","Eur J Appl Physiol","2017","2017/10/24","PMC5727904","NIHMS914990","10.1007/s00421-017-3737-3"
"29532649","Contralateral effect of short-duration unilateral neuromuscular electrical stimulation and focal vibration in healthy subjects","Minetto MA, Botter A, Gamerro G, Varvello I, Massazza G, Bellomo RG, Maffiuletti NA, Saggini R.","Eur J Phys Rehabil Med. 2018 Dec;54(6):911-920. doi: 10.23736/S1973-9087.18.05004-9. Epub 2018 Mar 12.","Minetto MA","Eur J Phys Rehabil Med","2018","2018/03/14","","","10.23736/S1973-9087.18.05004-9"
"29117442","Neuromuscular adaptations induced by adjacent joint training","Ema R, Saito I, Akagi R.","Scand J Med Sci Sports. 2018 Mar;28(3):947-960. doi: 10.1111/sms.13008. Epub 2017 Nov 22.","Ema R","Scand J Med Sci Sports","2018","2017/11/09","","","10.1111/sms.13008"
"28088661","Reduced cortical voluntary activation during bilateral knee extension","Girompaire L, Morel B, Lapole T.","Hum Mov Sci. 2017 Apr;52:17-23. doi: 10.1016/j.humov.2017.01.005. Epub 2017 Jan 13.","Girompaire L","Hum Mov Sci","2017","2017/01/16","","","10.1016/j.humov.2017.01.005"
"32692315","Estimates of voluntary activation in individuals with anterior cruciate ligament reconstruction: Effects of type of stimulator, number of stimuli, and quantification technique","Garcia SA, Rodriguez KM, Brown SR, Palmieri-Smith RM, Krishnan C.","J Sport Health Sci. 2019 Dec 20:S2095-2546(19)30148-6. doi: 10.1016/j.jshs.2019.12.001. Online ahead of print.","Garcia SA","J Sport Health Sci","2019","2020/07/22","","","10.1016/j.jshs.2019.12.001"
"30908371","Downhill Running Impairs Activation and Strength of the Elbow Flexors","Brandenberger KJ, Warren GL, Ingalls CP, Otis JS, Doyle JA.","J Strength Cond Res. 2021 Aug 1;35(8):2145-2150. doi: 10.1519/JSC.0000000000003111.","Brandenberger KJ","J Strength Cond Res","2021","2019/03/26","","","10.1519/JSC.0000000000003111"
"31468171","No acute effects of placebo or open-label placebo treatments on strength, voluntary activation, and neuromuscular fatigue","Swafford AP, Kwon DP, MacLennan RJ, Fukuda DH, Stout JR, Stock MS.","Eur J Appl Physiol. 2019 Oct;119(10):2327-2338. doi: 10.1007/s00421-019-04219-1. Epub 2019 Aug 29.","Swafford AP","Eur J Appl Physiol","2019","2019/08/31","","","10.1007/s00421-019-04219-1"
"30479907","Effects of sex and joint action on voluntary activation","Ema R, Suzuki M, Kawaguchi E, Saito I, Akagi R.","PeerJ. 2018 Nov 15;6:e5968. doi: 10.7717/peerj.5968. eCollection 2018.","Ema R","PeerJ","2018","2018/11/28","PMC6240438","","10.7717/peerj.5968"
"33687530","Plantar flexor voluntary activation capacity, strength and function in cerebral palsy","O'Brien SM, Carroll TJ, Barber LA, Lichtwark GA.","Eur J Appl Physiol. 2021 Jun;121(6):1733-1741. doi: 10.1007/s00421-021-04638-z. Epub 2021 Mar 9.","O'Brien SM","Eur J Appl Physiol","2021","2021/03/09","","","10.1007/s00421-021-04638-z"
"32239310","Changes in the quadriceps spinal reflex pathway after repeated sprint cycling are not influenced by ischemic preconditioning","Marshall PW, Rasmussen SB, Krogh M, Halley S, Siegler JC.","Eur J Appl Physiol. 2020 May;120(5):1189-1202. doi: 10.1007/s00421-020-04359-9. Epub 2020 Apr 1.","Marshall PW","Eur J Appl Physiol","2020","2020/04/03","","","10.1007/s00421-020-04359-9"
"34959209","Submaximal fatiguing contractions reduce stability of voluntary postural control more than maximal fatiguing contractions","Bahmanbegloo ZH, Budini F, Hassanlouei H, Farsi A, Tilp M.","Gait Posture. 2021 Dec 14;92:407-412. doi: 10.1016/j.gaitpost.2021.12.004. Online ahead of print.","Bahmanbegloo ZH","Gait Posture","2021","2021/12/27","","","10.1016/j.gaitpost.2021.12.004"
"12015621","Impaired ability of voluntary quadriceps activation bilaterally interferes with function testing after knee injuries. A twitch interpolation study","Urbach D, Awiszus F.","Int J Sports Med. 2002 May;23(4):231-6. doi: 10.1055/s-2002-29074.","Urbach D","Int J Sports Med","2002","2002/05/17","","","10.1055/s-2002-29074"
"29046429","Paired corticospinal-motoneuronal stimulation increases maximal voluntary activation of human adductor pollicis","D'Amico JM, Dongés SC, Taylor JL.","J Neurophysiol. 2018 Jan 1;119(1):369-376. doi: 10.1152/jn.00919.2016. Epub 2017 Oct 18.","D'Amico JM","J Neurophysiol","2018","2017/10/20","","","10.1152/jn.00919.2016"
"32936591","Fatigue-related Feedback from Calf Muscles Impairs Knee Extensor Voluntary Activation","Finn HT, Kennedy DS, Green S, Taylor JL.","Med Sci Sports Exerc. 2020 Oct;52(10):2136-2144. doi: 10.1249/MSS.0000000000002362.","Finn HT","Med Sci Sports Exerc","2020","2020/09/16","","","10.1249/MSS.0000000000002362"
"23886750","Neuromechanical properties of the triceps surae in young and older adults","Barber LA, Barrett RS, Gillett JG, Cresswell AG, Lichtwark GA.","Exp Gerontol. 2013 Nov;48(11):1147-55. doi: 10.1016/j.exger.2013.07.007. Epub 2013 Jul 22.","Barber LA","Exp Gerontol","2013","2013/07/27","","","10.1016/j.exger.2013.07.007"
"11870692","Intermuscle differences in activation","Behm DG, Whittle J, Button D, Power K.","Muscle Nerve. 2002 Feb;25(2):236-43. doi: 10.1002/mus.10008.","Behm DG","Muscle Nerve","2002","2002/03/01","","","10.1002/mus.10008"
"28594464","Do changes in neuromuscular activation contribute to the knee extensor angle-torque relationship?","Lanza MB, Balshaw TG, Folland JP.","Exp Physiol. 2017 Aug 1;102(8):962-973. doi: 10.1113/EP086343. Epub 2017 Jul 12.","Lanza MB","Exp Physiol","2017","2017/06/09","","","10.1113/EP086343"
"30091669","Child-adult differences in neuromuscular fatigue are muscle-dependent","Piponnier E, Martin V, Bontemps B, Chalchat E, Julian V, Bocock O, Duclos M, Ratel S.","J Appl Physiol (1985). 2018 Aug 9. doi: 10.1152/japplphysiol.00244.2018. Online ahead of print.","Piponnier E","J Appl Physiol (1985)","2018","2018/08/10","","","10.1152/japplphysiol.00244.2018"
"31483396","Peripheral Nociception Is Associated with Voluntary Activation Deficits and Quadriceps Weakness Following Total Knee Arthroplasty","Loyd BJ, Stackhouse SK, Hogan C, Dayton MR, Stevens-Lapsley JE, Kittelson AJ.","J Bone Joint Surg Am. 2019 Sep 4;101(17):1539-1545. doi: 10.2106/JBJS.18.01457.","Loyd BJ","J Bone Joint Surg Am","2019","2019/09/05","PMC7406143","","10.2106/JBJS.18.01457"
"19788959","Voluntary activation of the infraspinatus muscle in nonfatigued and fatigued states","Stackhouse SK, Stapleton MR, Wagner DA, McClure PW.","J Shoulder Elbow Surg. 2010 Mar;19(2):224-9. doi: 10.1016/j.jse.2009.07.006. Epub 2009 Sep 27.","Stackhouse SK","J Shoulder Elbow Surg","2010","2009/10/01","","","10.1016/j.jse.2009.07.006"
"18470532","Relationships between voluntary activation and motor unit firing rate during maximal voluntary contractions in young and older adults","Knight CA, Kamen G.","Eur J Appl Physiol. 2008 Aug;103(6):625-30. doi: 10.1007/s00421-008-0757-z. Epub 2008 May 10.","Knight CA","Eur J Appl Physiol","2008","2008/05/13","","","10.1007/s00421-008-0757-z"
"31212803","Increased Voluntary Activation of the Elbow Flexors Following a Single Session of Spinal Manipulation in a Subclinical Neck Pain Population","Kingett M, Holt K, Niazi IK, Nedergaard RW, Lee M, Haavik H.","Brain Sci. 2019 Jun 12;9(6):136. doi: 10.3390/brainsci9060136.","Kingett M","Brain Sci","2019","2019/06/20","PMC6628214","","10.3390/brainsci9060136"
"32916655","Muscle Fatigability After Hex-Bar Deadlift Exercise Performed With Fast or Slow Tempo","Collison JA, Moran J, Zijdewind I, Hettinga FJ.","Int J Sports Physiol Perform. 2021 Jan 1;16(1):117-123. doi: 10.1123/ijspp.2019-0599. Epub 2020 Sep 11.","Collison JA","Int J Sports Physiol Perform","2021","2020/09/11","","","10.1123/ijspp.2019-0599"
"29570538","Acute Effect of Noradrenergic Modulation on Motor Output Adjustment in Men","Klass M, Roelands B, Meeusen R, Duchateau J.","Med Sci Sports Exerc. 2018 Aug;50(8):1579-1587. doi: 10.1249/MSS.0000000000001622.","Klass M","Med Sci Sports Exerc","2018","2018/03/24","","","10.1249/MSS.0000000000001622"
"31379595","Critical Peripheral Fatigue Thresholds Among Different Force-Velocity Conditions: An Individual-Based Model Approach","Morel B, Lapole T, Liotard C, Hautier C.","Front Physiol. 2019 Jul 16;10:875. doi: 10.3389/fphys.2019.00875. eCollection 2019.","Morel B","Front Physiol","2019","2019/08/06","PMC6646582","","10.3389/fphys.2019.00875"
"14694506","Assessment of voluntary activation by stimulation of one muscle or two synergistic muscles","Williams DM, Bilodeau M.","Muscle Nerve. 2004 Jan;29(1):112-9. doi: 10.1002/mus.10508.","Williams DM","Muscle Nerve","2004","2003/12/25","","","10.1002/mus.10508"
"28692630","Effects of Four Weeks of Strength Training on the Corticomotoneuronal Pathway","Nuzzo JL, Barry BK, Jones MD, Gandevia SC, Taylor JL.","Med Sci Sports Exerc. 2017 Nov;49(11):2286-2296. doi: 10.1249/MSS.0000000000001367.","Nuzzo JL","Med Sci Sports Exerc","2017","2017/07/11","","","10.1249/MSS.0000000000001367"
"27148075","Time-Course of Neuromuscular Changes during and after Maximal Eccentric Contractions","Doguet V, Jubeau M, Dorel S, Couturier A, Lacourpaille L, Guével A, Guilhem G.","Front Physiol. 2016 Apr 18;7:137. doi: 10.3389/fphys.2016.00137. eCollection 2016.","Doguet V","Front Physiol","2016","2016/05/06","PMC4834740","","10.3389/fphys.2016.00137"
"33148973","Recovery from Fatigue after Cycling Time Trials in Elite Endurance Athletes","Ducrocq GP, Hureau TJ, Bøgseth T, Meste O, Blain GM.","Med Sci Sports Exerc. 2021 May 1;53(5):904-917. doi: 10.1249/MSS.0000000000002557.","Ducrocq GP","Med Sci Sports Exerc","2021","2020/11/05","","","10.1249/MSS.0000000000002557"
"29947595","Motor planning perturbation: muscle activation and reaction time","Delmas S, Casamento-Moran A, Park SH, Yacoubi B, Christou EA.","J Neurophysiol. 2018 Oct 1;120(4):2059-2065. doi: 10.1152/jn.00323.2018. Epub 2018 Jun 27.","Delmas S","J Neurophysiol","2018","2018/06/28","PMC6230771","","10.1152/jn.00323.2018"
"18976953","Measurement of voluntary activation of the back muscles using transcranial magnetic stimulation","Lagan J, Lang P, Strutton PH.","Clin Neurophysiol. 2008 Dec;119(12):2839-45. doi: 10.1016/j.clinph.2008.09.013. Epub 2008 Oct 30.","Lagan J","Clin Neurophysiol","2008","2008/11/04","","","10.1016/j.clinph.2008.09.013"
"17525881","Random motor unit activation by electrostimulation","Jubeau M, Gondin J, Martin A, Sartorio A, Maffiuletti NA.","Int J Sports Med. 2007 Nov;28(11):901-4. doi: 10.1055/s-2007-965075. Epub 2007 May 24.","Jubeau M","Int J Sports Med","2007","2007/05/26","","","10.1055/s-2007-965075"
"23283762","Twitch interpolation: superimposed twitches decline progressively during a tetanic contraction of human adductor pollicis","Gandevia SC, McNeil CJ, Carroll TJ, Taylor JL.","J Physiol. 2013 Mar 1;591(5):1373-83. doi: 10.1113/jphysiol.2012.248989. Epub 2013 Jan 2.","Gandevia SC","J Physiol","2013","2013/01/04","PMC3607877","","10.1113/jphysiol.2012.248989"
"29333724","Voluntary activation and twitch potentiation of the elbow flexors across supinated, neutral, and pronated forearm orientations","Kohn S, Smart RR, Jakobi JM.","Physiol Rep. 2018 Jan;6(1):e13560. doi: 10.14814/phy2.13560.","Kohn S","Physiol Rep","2018","2018/01/16","PMC5789656","","10.14814/phy2.13560"
"31696775","The effect of experimental shoulder pain on contralateral muscle force and activation","Stackhouse SK, Sweitzer BA, McClure PW.","Physiother Theory Pract. 2021 Nov;37(11):1227-1234. doi: 10.1080/09593985.2019.1686670. Epub 2019 Nov 7.","Stackhouse SK","Physiother Theory Pract","2021","2019/11/08","PMC7202978","NIHMS1541944","10.1080/09593985.2019.1686670"
"21643920","Neural adaptations to electrical stimulation strength training","Hortobágyi T, Maffiuletti NA.","Eur J Appl Physiol. 2011 Oct;111(10):2439-49. doi: 10.1007/s00421-011-2012-2. Epub 2011 Jun 4.","Hortobágyi T","Eur J Appl Physiol","2011","2011/06/07","PMC3175340","","10.1007/s00421-011-2012-2"
"26941638","Neural Activation During Submaximal Contractions Seems More Reflective of Neuromuscular Ageing than Maximal Voluntary Activation","Scaglioni G, Narici MV, Martin A.","Front Aging Neurosci. 2016 Feb 25;8:19. doi: 10.3389/fnagi.2016.00019. eCollection 2016.","Scaglioni G","Front Aging Neurosci","2016","2016/03/05","PMC4766308","","10.3389/fnagi.2016.00019"
"24149960","The effect of stimulus anticipation on the interpolated twitch technique","Button DC, Behm DG.","J Sports Sci Med. 2008 Dec 1;7(4):520-4. eCollection 2008.","Button DC","J Sports Sci Med","2008","2013/10/24","PMC3761925","",""
"29334582","Carbohydrate Mouth Rinsing Does Not Prevent the Decline in Maximal Strength After Fatiguing Exercise","Black CD, Schubert DJ, Szczyglowski MK, Wren JD.","J Strength Cond Res. 2018 Sep;32(9):2466-2473. doi: 10.1519/JSC.0000000000002444.","Black CD","J Strength Cond Res","2018","2018/01/16","","","10.1519/JSC.0000000000002444"
"19561142","Voluntary activation of human knee extensors measured using transcranial magnetic stimulation","Goodall S, Romer LM, Ross EZ.","Exp Physiol. 2009 Sep;94(9):995-1004. doi: 10.1113/expphysiol.2009.047902. Epub 2009 Jun 26.","Goodall S","Exp Physiol","2009","2009/06/30","","","10.1113/expphysiol.2009.047902"
"28319585","Increased Fatigue Response to Augmented Deceptive Feedback during Cycling Time Trial","Ducrocq GP, Hureau TJ, Meste O, Blain GM.","Med Sci Sports Exerc. 2017 Aug;49(8):1541-1551. doi: 10.1249/MSS.0000000000001272.","Ducrocq GP","Med Sci Sports Exerc","2017","2017/03/21","","","10.1249/MSS.0000000000001272"
"34669044","Fatigability of the knee extensors following high- and low-load resistance exercise sessions in trained men","Marshall PW, Forward T, Enoka RM.","Eur J Appl Physiol. 2022 Jan;122(1):245-254. doi: 10.1007/s00421-021-04832-z. Epub 2021 Oct 20.","Marshall PW","Eur J Appl Physiol","2022","2021/10/20","","","10.1007/s00421-021-04832-z"
"30691760","Using first bout effect to study the mechanisms underlying eccentric exercise induced force loss","Prasartwuth O, Suteebut R, Chawawisuttikool J, Yavuz US, Turker KS.","J Bodyw Mov Ther. 2019 Jan;23(1):48-53. doi: 10.1016/j.jbmt.2017.11.008. Epub 2017 Nov 29.","Prasartwuth O","J Bodyw Mov Ther","2019","2019/01/30","","","10.1016/j.jbmt.2017.11.008"
"30328105","Enhanced availability of serotonin increases activation of unfatigued muscle but exacerbates central fatigue during prolonged sustained contractions","Kavanagh JJ, McFarland AJ, Taylor JL.","J Physiol. 2019 Jan;597(1):319-332. doi: 10.1113/JP277148. Epub 2018 Nov 8.","Kavanagh JJ","J Physiol","2019","2018/10/18","PMC6312415","","10.1113/JP277148"
"34337885","Residual force enhancement in humans: Is there a true non-responder?","Paternoster FK, Holzer D, Arlt A, Schwirtz A, Seiberl W.","Physiol Rep. 2021 Aug;9(15):e14944. doi: 10.14814/phy2.14944.","Paternoster FK","Physiol Rep","2021","2021/08/02","PMC8327164","","10.14814/phy2.14944"
"23182631","The role of motor neuron drive in muscle fatigue","Ranieri F, Di Lazzaro V.","Neuromuscul Disord. 2012 Dec;22 Suppl 3:S157-61. doi: 10.1016/j.nmd.2012.10.006.","Ranieri F","Neuromuscul Disord","2012","2012/11/28","","","10.1016/j.nmd.2012.10.006"
"25844855","Neural Excitability Alterations After Anterior Cruciate Ligament Reconstruction","Pietrosimone BG, Lepley AS, Ericksen HM, Clements A, Sohn DH, Gribble PA.","J Athl Train. 2015 Jun;50(6):665-74. doi: 10.4085/1062-6050-50.1.11. Epub 2015 Apr 6.","Pietrosimone BG","J Athl Train","2015","2015/04/07","PMC4527451","","10.4085/1062-6050-50.1.11"
